Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Annealed,4,1.61,1.01,1.59,1.66,3.75,1,0.43,0.713,2.33,0.55
Annealed,8,1.93,1.04,1.86,0.68,0.38,1,0.43,0.607,1.12,0.43
Heat-Strengthened,4,4.85,4.03,1.2,2.39,100.18,2,1.3,0.362,13.2,0.93
Fully Tempered,5,2.85,2.9,0.98,1.71,6.08,4,3,0.856,7.99,0.72
Fully Tempered,6,2.31,1.83,1.26,1.68,2.36,4,3,0.483,13.91,0.72
Fully Tempered,6,3.3,4.72,0.7,0.75,1.7,4,3,0.395,7.59,0.83
Fully Tempered,10,2.14,4.24,0.5,2.72,0.26,4,3,0.812,13.4,0.64
Laminated,5,1.58,2.3,0.69,2.4,1.02,3.8,2.85,0.483,18.88,0.43
Heat-Strengthened,4,1.02,1.99,0.51,1.89,0.31,2,1.3,0.553,6.84,1
Annealed,5,1.14,1.07,1.07,2.05,0.51,1,0.43,0.476,4.31,0.72
Fully Tempered,19,2.46,4.82,0.51,0.61,0.01,4,3,0.804,3.03,0.36
Heat-Strengthened,16,2.02,1.99,1.02,1.66,0.07,2,1.3,0.736,4.51,1
Heat-Strengthened,12,1.02,4.12,0.25,2.31,0.01,2,1.3,0.876,5.27,0.93
Laminated,10,2.88,1.64,1.76,1.19,1.08,3.8,2.85,0.839,5.39,1
Fully Tempered,16,4.86,3.24,1.5,0.56,0.46,4,3,0.737,3.04,0.72
Heat-Strengthened,16,1.31,3.27,0.4,1.56,0.01,2,1.3,0.851,3.67,0.31
Annealed,16,4.74,1.52,3.12,1.3,2.29,1,0.43,0.85,1.53,0.36
Fully Tempered,12,3.97,1.61,2.47,2.48,4.81,4,3,0.72,13.78,0.55
Annealed,5,3.8,4.94,0.77,1.67,11.02,1,0.43,0.321,5.2,0.43
Annealed,6,2.24,1.23,1.82,0.88,1.81,1,0.43,0.543,1.62,0.72
Annealed,12,3.01,3.83,0.79,2,0.48,1,0.43,0.872,2.29,0.93
Annealed,12,3.96,1.35,2.93,1.84,4.21,1,0.43,0.721,2.55,0.93
Heat-Strengthened,4,2.26,4.65,0.49,1.12,1.92,2,1.3,0.555,4.04,0.31
Annealed,4,2.24,3.36,0.67,0.66,1.51,1,0.43,0.851,0.78,0.31
Fully Tempered,4,2.75,1.28,2.15,0.98,14.85,4,3,0.767,5.11,0.43
Annealed,5,4.84,1.53,3.16,1.46,90.94,1,0.43,0.739,1.98,0.72
Heat-Strengthened,8,2.18,3.09,0.71,2.49,0.69,2,1.3,0.549,9.07,1
Annealed,10,2.94,4.92,0.6,2.99,0.89,1,0.43,0.868,3.44,0.31
Annealed,10,1.35,4.68,0.29,2.4,0.03,1,0.43,0.814,2.95,1
Laminated,5,1.03,1.14,0.9,2.89,0.45,3.8,2.85,0.656,16.74,1
Annealed,6,3.99,4.6,0.87,1.19,5.93,1,0.43,0.762,1.56,0.93
Laminated,12,4.17,1.88,2.22,1.97,3.98,3.8,2.85,0.854,8.77,0.64
Fully Tempered,5,1.94,1.44,1.35,0.91,1.4,4,3,0.476,7.65,0.43
Laminated,16,1.22,3.7,0.33,2.55,0.01,3.8,2.85,0.746,12.99,1
Laminated,12,3.23,3.69,0.88,0.66,0.22,3.8,2.85,0.761,3.3,0.72
Heat-Strengthened,5,4.65,1.15,4.04,1.87,132.03,2,1.3,0.702,5.33,0.64
Heat-Strengthened,4,3.51,1.74,2.02,0.82,24.26,2,1.3,0.558,2.94,0.72
Heat-Strengthened,8,4.92,2.84,1.73,0.6,5.25,2,1.3,0.495,2.42,0.43
Laminated,4,4.98,1.13,4.41,2.58,476.34,3.8,2.85,0.858,11.43,0.93
Heat-Strengthened,5,3.55,2.05,1.73,2.94,39.56,2,1.3,0.365,16.11,0.36
Fully Tempered,12,1.42,2.34,0.61,2.9,0.06,4,3,0.758,15.3,0.31
Laminated,19,1.54,4.66,0.33,0.94,0,3.8,2.85,0.872,4.1,0.64
Annealed,12,1.94,2.35,0.83,0.86,0.06,1,0.43,0.76,1.13,0.43
Heat-Strengthened,6,1.54,3.05,0.5,1.06,0.18,2,1.3,0.571,3.71,0.43
Heat-Strengthened,16,1.48,2.66,0.56,2.84,0.02,2,1.3,0.773,7.35,0.72
Fully Tempered,10,1.12,2.81,0.4,2.87,0.03,4,3,0.719,15.97,0.31
Heat-Strengthened,8,1.63,3.83,0.43,1.73,0.12,2,1.3,0.696,4.97,0.93
Fully Tempered,5,4.15,2.35,1.77,2.92,64.01,4,3,0.638,18.31,0.36
Laminated,10,3.87,3.72,1.04,2.31,2.72,3.8,2.85,0.819,10.72,0.72
Fully Tempered,8,2.95,3.46,0.85,1.51,1.26,4,3,0.844,7.16,0.83
Heat-Strengthened,5,2.16,4.42,0.49,0.77,0.59,2,1.3,0.325,4.74,0.31
Heat-Strengthened,6,2.57,4.71,0.55,1.4,1.17,2,1.3,0.694,4.03,0.31
Annealed,5,4.56,2.46,1.85,1.72,52.5,1,0.43,0.339,5.07,0.36
Laminated,10,3.46,2.08,1.66,1.45,2.17,3.8,2.85,0.821,6.71,1
Laminated,5,4.06,1.35,3.01,2.66,92.98,3.8,2.85,0.407,24.84,0.83
Heat-Strengthened,6,1.83,3.04,0.6,2.13,0.71,2,1.3,0.411,10.36,0.43
Annealed,8,1.02,3.56,0.29,2.78,0.03,1,0.43,0.573,4.85,1
Fully Tempered,8,4.51,3.48,1.3,1.47,6.67,4,3,0.843,6.98,0.55
Heat-Strengthened,10,4.44,4.6,0.97,2.14,3.53,2,1.3,0.897,4.77,1
Annealed,6,1.93,4.8,0.4,2.74,0.72,1,0.43,0.431,6.36,0.72
Annealed,6,2.24,2.51,0.89,0.77,0.7,1,0.43,0.871,0.88,0.93
Fully Tempered,8,2.7,4.33,0.62,1.46,0.68,4,3,0.831,7.03,0.43
Heat-Strengthened,12,2,3.52,0.57,1.53,0.08,2,1.3,0.708,4.32,1
Annealed,10,4.6,3.56,1.29,0.55,1.35,1,0.43,0.773,0.71,0.55
Heat-Strengthened,19,2.66,1.33,2,2.22,0.26,2,1.3,0.859,5.17,1
Fully Tempered,6,3.14,1.12,2.8,2.97,25.91,4,3,0.624,19.04,0.93
Annealed,10,3.46,1.92,1.8,2.98,4.83,1,0.43,0.858,3.47,0.43
Annealed,19,1.41,3.67,0.38,1.68,0.01,1,0.43,0.786,2.14,0.72
Annealed,5,3.48,2.9,1.2,2.03,16.05,1,0.43,0.539,3.77,0.36
Heat-Strengthened,12,3.78,4.74,0.8,1.98,0.96,2,1.3,0.826,4.79,0.72
Heat-Strengthened,4,3.85,1.3,2.96,2.7,154.78,2,1.3,0.342,15.79,0.36
Annealed,19,1.32,4.46,0.3,0.75,0,1,0.43,0.763,0.98,0.36
Heat-Strengthened,6,2.87,1.45,1.98,0.79,3.72,2,1.3,0.728,2.17,0.36
Annealed,8,2.81,1.66,1.69,2.4,3.82,1,0.43,0.32,7.5,0.64
Heat-Strengthened,19,1.01,2.34,0.43,1.92,0,2,1.3,0.863,4.45,1
Fully Tempered,5,2.06,4.96,0.42,1.29,0.73,4,3,0.824,6.26,0.55
Fully Tempered,19,3.57,4.52,0.79,0.73,0.07,4,3,0.839,3.48,0.93
Fully Tempered,12,3.75,2.81,1.33,1.58,1.26,4,3,0.707,8.94,0.31
Fully Tempered,5,1.86,4.56,0.41,1.36,0.56,4,3,0.804,6.77,0.43
Heat-Strengthened,16,4.13,2.52,1.64,2.22,1.36,2,1.3,0.863,5.14,1
Laminated,6,4.28,3.51,1.22,2.27,19.63,3.8,2.85,0.303,28.47,0.93
Laminated,12,3.41,4.62,0.74,1.03,0.34,3.8,2.85,0.82,4.77,0.83
Laminated,5,3.32,3.45,0.96,2.68,14.75,3.8,2.85,0.594,17.14,0.83
Fully Tempered,12,4.94,2.89,1.71,2.85,7.38,4,3,0.718,15.88,0.83
Fully Tempered,5,2.31,4.91,0.47,2.88,2.61,4,3,0.644,17.89,0.36
Fully Tempered,6,1.24,2.13,0.58,1,0.1,4,3,0.765,5.23,0.55
Laminated,10,3.62,1.93,1.88,2.71,5.23,3.8,2.85,0.71,14.5,0.55
Annealed,8,4.04,2.49,1.62,0.92,4.17,1,0.43,0.441,2.09,0.64
Heat-Strengthened,16,2.15,2.35,0.91,0.89,0.04,2,1.3,0.754,2.36,0.64
Fully Tempered,16,3.51,1.88,1.87,1.01,0.43,4,3,0.767,5.27,0.31
Annealed,4,4.02,4.34,0.93,1.12,20.57,1,0.43,0.784,1.43,1
Annealed,5,2.64,1.96,1.35,1.27,4.92,1,0.43,0.619,2.05,0.43
Heat-Strengthened,5,2.93,1.66,1.77,0.68,5.24,2,1.3,0.327,4.16,0.64
Heat-Strengthened,6,1.52,3.06,0.5,1.94,0.31,2,1.3,0.51,7.61,1
Annealed,6,4.56,2.64,1.73,2.31,38.02,1,0.43,0.745,3.1,0.64
Annealed,19,1.96,4.09,0.48,2.99,0.03,1,0.43,0.704,4.25,0.36
Fully Tempered,4,1.9,4.78,0.4,0.61,0.51,4,3,0.708,3.45,1
Fully Tempered,19,4.65,3.8,1.22,1.13,0.4,4,3,0.758,5.96,0.83
Annealed,8,1.25,1.6,0.78,1.36,0.08,1,0.43,0.573,2.37,0.72
Laminated,5,3.86,1.51,2.56,1.62,41.36,3.8,2.85,0.81,7.6,1
Fully Tempered,12,3.57,3.08,1.16,1.45,0.86,4,3,0.706,8.22,0.36
Fully Tempered,4,3.46,2.01,1.72,2.64,63.85,4,3,0.601,17.57,0.36
Laminated,6,1.83,3.78,0.48,2.49,0.67,3.8,2.85,0.73,12.96,0.31
Laminated,8,3.79,2.6,1.46,1.37,4.15,3.8,2.85,0.662,7.86,0.72
Annealed,5,1.95,3.09,0.63,1.59,1.16,1,0.43,0.345,4.61,0.31
Annealed,8,2.5,3.92,0.64,2.42,0.92,1,0.43,0.595,4.07,1
Annealed,6,3.33,4.73,0.7,2.09,4.91,1,0.43,0.828,2.52,0.64
Fully Tempered,19,1.05,1.04,1.01,2.62,0.01,4,3,0.774,13.54,0.55
Heat-Strengthened,4,3.98,4.74,0.84,2.94,47.51,2,1.3,0.888,6.62,0.36
Heat-Strengthened,12,4.68,4.67,1,0.67,0.78,2,1.3,0.814,1.65,0.36
Heat-Strengthened,16,1.93,2.36,0.82,2.1,0.06,2,1.3,0.858,4.9,0.55
Laminated,16,3.19,4.22,0.76,2.33,0.27,3.8,2.85,0.784,11.29,0.31
Heat-Strengthened,12,2.32,2.38,0.97,2.61,0.36,2,1.3,0.725,7.2,0.72
Fully Tempered,5,3.07,2.78,1.1,1.19,5.94,4,3,0.406,11.72,0.72
Annealed,19,4.58,3.17,1.44,2.22,0.88,1,0.43,0.764,2.91,1
Annealed,8,4.1,3.71,1.11,2.29,6.66,1,0.43,0.624,3.67,1
Laminated,5,1.04,2,0.52,1.06,0.1,3.8,2.85,0.596,6.76,1
Annealed,6,4.03,4.17,0.97,1.9,10.87,1,0.43,0.469,4.05,0.31
Heat-Strengthened,10,3.09,1.26,2.45,1.64,2.58,2,1.3,0.741,4.43,0.31
Annealed,12,1.87,4.98,0.38,0.68,0.02,1,0.43,0.88,0.77,1
Heat-Strengthened,19,1.99,3.38,0.59,1.18,0.02,2,1.3,0.854,2.76,0.83
Fully Tempered,10,3.93,2.82,1.39,0.82,1.36,4,3,0.703,4.67,0.83
Laminated,8,3.99,1.59,2.51,0.9,6.08,3.8,2.85,0.495,6.91,0.64
Heat-Strengthened,4,1.14,1.68,0.68,1.37,0.42,2,1.3,0.451,6.08,0.43
Annealed,5,4.62,3.57,1.29,0.78,15.56,1,0.43,0.504,1.55,0.43
Fully Tempered,12,4.56,2.35,1.94,0.98,2.27,4,3,0.758,5.17,0.43
Fully Tempered,8,1.73,3.97,0.44,2.37,0.2,4,3,0.392,24.18,0.64
Fully Tempered,12,1.43,4.36,0.33,1.55,0.02,4,3,0.837,7.41,0.55
Annealed,16,3.05,1.21,2.52,2.33,0.88,1,0.43,0.827,2.82,0.31
Fully Tempered,4,3.6,2.52,1.43,2.15,43.75,4,3,0.605,14.21,0.55
Fully Tempered,6,2.14,2.96,0.72,2.27,1.45,4,3,0.645,14.08,0.93
Heat-Strengthened,6,1.81,2.79,0.65,2.47,0.86,2,1.3,0.421,11.73,0.36
Fully Tempered,8,2.37,3.07,0.77,1.73,0.68,4,3,0.529,13.08,0.64
Laminated,16,4.16,2.99,1.39,0.61,0.29,3.8,2.85,0.784,2.96,0.93
Heat-Strengthened,4,4.6,2.79,1.65,2.6,141.53,2,1.3,0.739,7.04,0.83
Fully Tempered,12,1.29,2.7,0.48,1.84,0.02,4,3,0.733,10.04,0.55
Fully Tempered,4,1.6,1.57,1.02,2.32,2.96,4,3,0.657,14.12,0.43
Fully Tempered,12,2.26,4.25,0.53,2.83,0.2,4,3,0.717,15.79,0.83
Laminated,6,3.48,4.67,0.75,0.7,1.99,3.8,2.85,0.414,6.43,0.55
Fully Tempered,5,1.07,3.88,0.28,2.48,0.13,4,3,0.327,30.34,0.64
Laminated,10,4.81,2.5,1.92,2.69,12.5,3.8,2.85,0.832,12.29,0.93
Heat-Strengthened,4,1.09,1.01,1.08,1.98,0.84,2,1.3,0.387,10.23,0.31
Heat-Strengthened,8,4.74,1.5,3.16,0.73,10.42,2,1.3,0.869,1.68,1
Heat-Strengthened,10,4.45,2.67,1.67,2.85,9.09,2,1.3,0.825,6.91,0.64
Heat-Strengthened,16,2.49,2.5,1,1.23,0.09,2,1.3,0.73,3.37,0.36
Annealed,6,2.22,4,0.56,1.62,0.89,1,0.43,0.439,3.69,0.36
Fully Tempered,4,3.6,2.32,1.55,1.02,25.05,4,3,0.567,7.2,0.55
Heat-Strengthened,6,1.55,2.32,0.67,1.84,0.41,2,1.3,0.753,4.89,0.72
Fully Tempered,10,1.54,2.4,0.64,0.96,0.04,4,3,0.807,4.76,0.83
Annealed,4,4.46,4.99,0.89,2.46,59.55,1,0.43,0.396,6.21,0.55
Laminated,5,2.31,3.64,0.63,1.64,2.01,3.8,2.85,0.848,7.35,1
Heat-Strengthened,10,1.93,2.74,0.7,0.94,0.09,2,1.3,0.801,2.35,0.64
Annealed,6,4.43,4.45,1,0.67,5.25,1,0.43,0.868,0.77,0.64
Annealed,12,2.85,2.65,1.08,2.49,0.7,1,0.43,0.79,3.15,0.31
Annealed,12,1.35,3.02,0.45,1.27,0.02,1,0.43,0.74,1.72,0.31
Annealed,6,3.13,2.21,1.42,2.86,11.24,1,0.43,0.555,5.15,0.64
Laminated,6,1.01,3.98,0.25,1.28,0.03,3.8,2.85,0.496,9.81,0.83
Heat-Strengthened,12,4.23,2.88,1.47,2.96,3.72,2,1.3,0.746,7.94,1
Annealed,10,4.57,2.97,1.54,1.48,4.72,1,0.43,0.722,2.05,0.36
Laminated,5,3.49,4.84,0.72,0.61,2.92,3.8,2.85,0.657,3.53,0.64
Fully Tempered,12,4.48,1.54,2.91,1.61,5.29,4,3,0.895,7.2,0.64
Heat-Strengthened,6,4.53,3.37,1.34,1.43,16.16,2,1.3,0.519,5.51,0.72
Laminated,4,4.65,1.35,3.44,1.82,213.8,3.8,2.85,0.624,11.08,0.72
Annealed,19,2.19,1.42,1.54,0.83,0.04,1,0.43,0.725,1.14,0.43
Laminated,4,1.44,4.94,0.29,0.67,0.18,3.8,2.85,0.399,6.38,0.31
Laminated,12,4.17,1.03,4.05,1.23,4.54,3.8,2.85,0.859,5.44,0.43
Laminated,19,3.22,4.6,0.7,2.83,0.19,3.8,2.85,0.782,13.75,0.31
Heat-Strengthened,4,2.09,3.26,0.64,1.82,3.25,2,1.3,0.679,5.36,0.55
Annealed,12,2.35,2.41,0.98,2.62,0.37,1,0.43,0.893,2.93,0.83
Heat-Strengthened,10,3.01,4.12,0.73,2.61,1.02,2,1.3,0.789,6.62,0.55
Annealed,5,1.04,3.92,0.27,1.47,0.07,1,0.43,0.378,3.89,1
Heat-Strengthened,16,4.28,1.89,2.26,0.94,0.88,2,1.3,0.748,2.51,1
Laminated,5,1.95,4.7,0.41,1.09,0.52,3.8,2.85,0.602,6.88,0.36
Heat-Strengthened,19,3.31,2.96,1.12,2.58,0.3,2,1.3,0.826,6.25,0.64
Heat-Strengthened,19,1.31,1.67,0.78,2.5,0.01,2,1.3,0.732,6.83,0.83
Annealed,8,1.46,1.77,0.82,2.17,0.21,1,0.43,0.698,3.11,0.31
Heat-Strengthened,12,1.95,2.23,0.87,1.36,0.1,2,1.3,0.776,3.51,0.93
Heat-Strengthened,6,2.32,3.77,0.62,2.63,1.83,2,1.3,0.502,10.48,1
Heat-Strengthened,19,3.55,3.67,0.97,1.83,0.23,2,1.3,0.882,4.15,0.43
Heat-Strengthened,4,2.73,4.4,0.62,1.48,5.7,2,1.3,0.411,7.2,0.36
Fully Tempered,12,1.4,1.82,0.77,1.35,0.03,4,3,0.748,7.22,0.55
Laminated,5,1.48,2.03,0.73,1.26,0.47,3.8,2.85,0.486,9.85,0.64
Heat-Strengthened,16,3.14,3.65,0.86,2.37,0.3,2,1.3,0.809,5.86,0.64
Heat-Strengthened,10,3.43,2.94,1.17,1.48,1.36,2,1.3,0.757,3.91,1
Laminated,12,4.07,1.95,2.09,0.75,1.33,3.8,2.85,0.744,3.83,0.93
Annealed,5,1.22,4.8,0.25,2.41,0.17,1,0.43,0.65,3.71,0.43
Laminated,10,3.74,4.41,0.85,2.41,2.09,3.8,2.85,0.873,10.49,0.43
Fully Tempered,8,3.56,3.05,1.17,1.7,3.42,4,3,0.333,20.42,0.36
Laminated,8,4.22,4.48,0.94,0.53,1.43,3.8,2.85,0.477,4.22,0.64
Annealed,12,4.83,2.57,1.88,1.45,3.86,1,0.43,0.814,1.78,0.72
Fully Tempered,12,1.63,2.63,0.62,0.91,0.03,4,3,0.746,4.88,0.83
Heat-Strengthened,8,4.84,1.87,2.59,2.48,30.86,2,1.3,0.724,6.85,0.64
Annealed,16,2.96,4.47,0.66,1.89,0.15,1,0.43,0.819,2.31,0.43
Fully Tempered,6,2.73,4.24,0.64,2.03,2.41,4,3,0.831,9.77,0.43
Annealed,16,1.52,2.94,0.52,1.54,0.01,1,0.43,0.783,1.97,0.64
Annealed,5,4.86,1.53,3.18,1.28,81.06,1,0.43,0.756,1.69,0.64
Heat-Strengthened,12,1.04,2.12,0.49,1.01,0.01,2,1.3,0.845,2.39,0.55
Laminated,4,1.89,4.69,0.4,2.66,2.21,3.8,2.85,0.568,17.8,1
Annealed,12,2.41,4.39,0.55,2.3,0.2,1,0.43,0.727,3.16,0.36
Heat-Strengthened,5,4.88,1.8,2.71,1.04,56.91,2,1.3,0.626,3.32,0.64
Laminated,4,4.14,3.26,1.27,2.83,77.85,3.8,2.85,0.89,12.08,0.31
Annealed,5,4.9,4.42,1.11,2.08,42.4,1,0.43,0.843,2.47,0.64
Laminated,12,4.12,4.45,0.93,1.09,0.8,3.8,2.85,0.89,4.65,0.43
Laminated,19,4.01,2.37,1.69,2.43,0.84,3.8,2.85,0.71,13.01,0.64
Annealed,19,1.48,3.97,0.37,2.17,0.01,1,0.43,0.809,2.68,0.55
Fully Tempered,5,1.9,1.2,1.58,2.79,5.26,4,3,0.338,33.02,1
Annealed,19,1.2,2.24,0.54,1.72,0,1,0.43,0.892,1.93,0.93
Laminated,10,2.85,3.53,0.81,0.71,0.26,3.8,2.85,0.888,3.04,0.43
Fully Tempered,10,4.59,1.3,3.53,1.44,10.67,4,3,0.738,7.8,0.55
Heat-Strengthened,19,4.11,4.67,0.88,2.56,0.45,2,1.3,0.826,6.2,0.72
Annealed,5,1.07,4.26,0.25,1.69,0.08,1,0.43,0.658,2.57,0.55
Laminated,19,1.33,2.3,0.58,1.53,0.01,3.8,2.85,0.723,8.04,0.83
Laminated,6,3.43,1.25,2.74,2.64,29.38,3.8,2.85,0.571,17.57,0.36
Annealed,19,4.33,2.15,2.01,2.23,1.15,1,0.43,0.724,3.08,0.83
Heat-Strengthened,6,1.21,1.63,0.74,0.72,0.09,2,1.3,0.613,2.35,0.43
Heat-Strengthened,5,2.59,4.86,0.53,2.55,3.69,2,1.3,0.731,6.98,0.93
Heat-Strengthened,8,4.15,2.34,1.77,2.74,14.73,2,1.3,0.536,10.22,0.72
Annealed,19,1.18,3.12,0.38,1.48,0,1,0.43,0.738,2.01,0.31
Heat-Strengthened,16,2.47,4.31,0.57,0.51,0.02,2,1.3,0.769,1.33,1
Fully Tempered,8,1.07,2.88,0.37,1.41,0.02,4,3,0.34,16.59,0.43
Annealed,12,1.71,4.35,0.39,1.08,0.02,1,0.43,0.708,1.53,0.93
Fully Tempered,4,3.58,2.67,1.34,0.74,13.9,4,3,0.892,3.32,0.31
Annealed,12,3.3,4.52,0.73,0.67,0.2,1,0.43,0.896,0.75,0.64
Annealed,4,2.83,1.93,1.47,2.38,24.15,1,0.43,0.357,6.67,0.55
Annealed,19,1.56,2.8,0.56,2.57,0.02,1,0.43,0.859,2.99,0.64
Annealed,10,3.83,3.18,1.2,0.6,0.79,1,0.43,0.739,0.81,0.83
Laminated,10,4.32,4.3,1,1.2,1.9,3.8,2.85,0.858,5.31,0.36
Heat-Strengthened,6,3.07,2.45,1.25,0.71,2.33,2,1.3,0.696,2.04,1
Annealed,5,1.89,3.43,0.55,1,0.58,1,0.43,0.505,1.98,0.64
Fully Tempered,16,1.49,2.51,0.59,1.36,0.01,4,3,0.769,7.07,0.31
Annealed,6,1.21,1.84,0.66,2.5,0.26,1,0.43,0.409,6.11,0.64
Heat-Strengthened,16,4.29,1.86,2.31,1.73,1.67,2,1.3,0.781,4.43,0.43
Annealed,8,3.19,2.39,1.33,0.53,0.88,1,0.43,0.628,0.84,0.72
Annealed,8,1.18,2.54,0.46,2.05,0.06,1,0.43,0.695,2.95,0.64
Fully Tempered,6,2.32,4.63,0.5,2.35,1.33,4,3,0.41,22.93,0.64
Fully Tempered,5,2.06,1.51,1.36,1.05,1.96,4,3,0.412,10.19,0.72
Fully Tempered,6,4.55,4.27,1.07,3,27.24,4,3,0.455,26.37,0.83
Fully Tempered,8,3.48,3.35,1.04,2.92,4.88,4,3,0.452,25.84,0.93
Heat-Strengthened,12,3.68,3.34,1.1,2.71,1.68,2,1.3,0.893,6.07,0.64
Fully Tempered,10,1.33,3.62,0.37,2.47,0.04,4,3,0.899,10.99,0.72
Heat-Strengthened,4,1.86,2.97,0.63,0.85,1.05,2,1.3,0.644,2.64,0.93
Heat-Strengthened,16,2.68,1.55,1.73,1.88,0.33,2,1.3,0.836,4.5,0.36
Annealed,4,1.27,4.63,0.27,2.49,0.43,1,0.43,0.385,6.47,0.83
Fully Tempered,10,3.01,3.26,0.92,1.5,0.74,4,3,0.827,7.26,0.43
Fully Tempered,8,1.24,3.99,0.31,1.89,0.04,4,3,0.713,10.6,0.83
Heat-Strengthened,19,4.47,4.15,1.08,0.77,0.21,2,1.3,0.756,2.04,0.72
Heat-Strengthened,8,1.93,2.88,0.67,1.01,0.19,2,1.3,0.574,3.52,0.43
Heat-Strengthened,4,2.68,2.58,1.04,1.41,8.61,2,1.3,0.763,3.7,0.93
Annealed,19,4.17,3.88,1.07,0.94,0.21,1,0.43,0.741,1.27,1
Fully Tempered,12,1.6,1.42,1.13,1.29,0.07,4,3,0.841,6.14,0.36
Laminated,19,4.05,1.51,2.68,2.16,1.22,3.8,2.85,0.831,9.88,0.55
Laminated,10,1.14,3.71,0.31,2.47,0.02,3.8,2.85,0.797,11.78,0.83
Fully Tempered,16,3.99,3.34,1.19,1.1,0.4,4,3,0.899,4.89,0.83
Annealed,16,3.19,1.5,2.13,1.73,0.63,1,0.43,0.77,2.25,0.43
Heat-Strengthened,5,3.18,4.19,0.76,1.49,5.68,2,1.3,0.802,3.72,0.31
Laminated,12,3.23,1.78,1.81,1.14,0.88,3.8,2.85,0.859,5.04,0.55
Heat-Strengthened,4,4.84,3.49,1.39,0.91,43.68,2,1.3,0.614,2.96,0.83
Heat-Strengthened,6,3.98,3.43,1.16,2.62,17.34,2,1.3,0.707,7.41,0.43
Annealed,19,2.6,3.11,0.84,1.87,0.08,1,0.43,0.826,2.26,0.55
Heat-Strengthened,8,1.93,3.94,0.49,0.95,0.13,2,1.3,0.891,2.13,0.36
Fully Tempered,6,2.91,2.82,1.03,2.17,4.99,4,3,0.843,10.3,0.31
Laminated,5,4.38,4.15,1.06,2.96,41.03,3.8,2.85,0.889,12.65,0.31
Heat-Strengthened,19,1.26,4.27,0.3,2.88,0,2,1.3,0.737,7.82,0.72
Laminated,16,1.13,2.33,0.48,1.33,0,3.8,2.85,0.87,5.81,1
Laminated,4,3.03,1.61,1.88,1.7,30.19,3.8,2.85,0.547,11.81,0.83
Fully Tempered,6,2.03,4,0.51,2.03,0.78,4,3,0.67,12.12,0.83
Annealed,5,2.21,1.85,1.19,2.29,4.62,1,0.43,0.856,2.68,0.31
Laminated,12,3.25,2.21,1.47,2.54,1.45,3.8,2.85,0.757,12.75,0.72
Fully Tempered,10,4.43,4.3,1.03,1.18,2.06,4,3,0.778,6.07,0.43
Heat-Strengthened,4,4.83,2.55,1.89,1.67,120.9,2,1.3,0.787,4.24,0.36
Heat-Strengthened,10,4.88,1.96,2.49,0.69,4.33,2,1.3,0.859,1.61,0.64
Heat-Strengthened,4,3.35,3.87,0.87,2.71,26.92,2,1.3,0.55,9.85,0.93
Annealed,5,3.66,4.42,0.83,2.34,14.85,1,0.43,0.752,3.11,0.31
Fully Tempered,4,2.02,3.24,0.62,2.93,4.6,4,3,0.543,21.58,0.72
Heat-Strengthened,8,4.94,3.45,1.43,2.95,19.43,2,1.3,0.87,6.78,0.36
Laminated,6,3.96,3.17,1.25,2.87,20.14,3.8,2.85,0.433,25.19,0.83
Annealed,10,1.02,3.19,0.32,0.56,0,1,0.43,0.795,0.7,0.31
Fully Tempered,5,4.37,4.1,1.07,1.38,19.19,4,3,0.829,6.66,0.72
Annealed,8,2.22,4.8,0.46,1.69,0.33,1,0.43,0.505,3.35,0.36
Laminated,6,2.93,3.62,0.81,1.34,2.47,3.8,2.85,0.504,10.1,0.93
Heat-Strengthened,8,1.9,2.93,0.65,0.79,0.13,2,1.3,0.424,3.73,0.64
Fully Tempered,12,4.14,1.17,3.54,1.44,4.54,4,3,0.852,6.76,0.31
Fully Tempered,16,3.57,2.4,1.49,2.75,0.89,4,3,0.769,14.3,1
Annealed,19,2.61,1.94,1.35,0.58,0.04,1,0.43,0.724,0.8,0.36
Laminated,16,2.88,2.58,1.12,0.86,0.11,3.8,2.85,0.733,4.46,0.43
Heat-Strengthened,5,4.41,3.69,1.2,2.66,42.62,2,1.3,0.711,7.48,0.72
Heat-Strengthened,4,3.1,3.4,0.91,2.85,23.63,2,1.3,0.478,11.92,0.72
Annealed,10,3.56,2.49,1.43,1.07,1.35,1,0.43,0.875,1.22,1
Heat-Strengthened,8,3.62,2.43,1.49,1.96,5.29,2,1.3,0.891,4.4,0.93
Heat-Strengthened,16,2.47,1.46,1.69,2.73,0.37,2,1.3,0.753,7.25,0.72
Annealed,16,2.74,3.39,0.81,1,0.08,1,0.43,0.891,1.12,0.43
Fully Tempered,8,2.68,3.04,0.88,1.8,1.17,4,3,0.747,9.64,0.72
Fully Tempered,19,1.66,2.15,0.77,0.77,0.01,4,3,0.791,3.89,0.93
Heat-Strengthened,16,2.25,4.9,0.46,1.95,0.05,2,1.3,0.846,4.61,0.43
Heat-Strengthened,16,4.24,4.66,0.91,1.01,0.33,2,1.3,0.797,2.53,0.93
Annealed,16,1.79,4.94,0.36,2.09,0.02,1,0.43,0.759,2.75,0.43
Annealed,16,4.66,1.52,3.07,1.54,2.53,1,0.43,0.877,1.76,0.43
